Temperature,CO2,VOC,Time
0.4375,400,0,02:54:26
0.4375,400,0,02:54:27
0.375,400,0,02:54:28
0.4375,400,0,02:54:29
0.375,400,0,02:54:31
0.375,400,0,02:54:32
0.4375,400,0,02:54:33
0.5,400,0,02:54:34
0.5,400,0,02:54:36
0.4375,400,0,02:54:37
0.5,400,0,02:54:38
0.5625,400,0,02:54:39
0.5,400,0,02:54:41
0.375,400,0,02:54:42
0.375,400,0,02:54:43
0.3125,400,0,02:54:44
0.375,400,0,02:54:45
0.375,400,0,02:54:47
0.375,400,0,02:54:48
0.3125,400,0,02:54:49
0.3125,400,0,02:54:50
0.3125,400,0,02:54:52
0.25,400,0,02:54:53
0.375,400,0,02:54:54
0.375,400,0,02:54:55
0.375,400,0,02:54:57
0.375,400,0,02:54:58
0.3125,400,0,02:54:59
0.3125,400,0,02:55:00
0.3125,400,0,02:55:02
0.375,400,0,02:55:03
0.375,400,0,02:55:04
0.375,400,0,02:55:05
0.375,400,0,02:55:06
0.375,400,0,02:55:08
0.375,400,0,02:55:09
0.3125,400,0,02:55:10
0.3125,400,0,02:55:11
0.3125,400,0,02:55:13
0.3125,400,0,02:55:14
0.25,400,0,02:55:15
0.25,400,0,02:55:16
0.25,400,0,02:55:18
0.3125,400,0,02:55:19
0.25,400,0,02:55:20
0.3125,400,0,02:55:21
0.3125,400,0,02:55:22
0.3125,400,0,02:55:24
0.25,400,0,02:55:25
0.25,400,0,02:55:26
0.25,400,0,02:55:27
0.25,400,0,02:55:29
0.25,400,0,02:55:30
0.25,400,0,02:55:31
0.25,400,0,02:55:32
0.25,400,0,02:55:34
0.25,400,0,02:55:35
0.25,400,0,02:55:36
0.25,400,0,02:55:37
0.25,400,0,02:55:39
0.25,400,0,02:55:40
0.25,400,0,02:55:41
0.3125,400,0,02:55:42
0.3125,400,0,02:55:43
0.25,400,0,02:55:45
0.1875,400,0,02:55:46
0.25,400,0,02:55:47
0.25,400,0,02:55:48
0.25,400,0,02:55:50
0.1875,400,0,02:55:51
0.3125,400,0,02:55:52
0.25,400,0,02:55:53
0.1875,400,0,02:55:55
0.25,400,0,02:55:56
0.25,400,0,02:55:57
0.25,400,0,02:55:58
0.25,400,0,02:55:59
0.25,400,0,02:56:01
0.1875,400,0,02:56:02
0.1875,400,0,02:56:03
0.1875,400,0,02:56:04
0.125,400,0,02:56:06
0.125,400,0,02:56:07
0.1875,400,0,02:56:08
0.125,400,0,02:56:09
0.125,400,0,02:56:11
0.125,400,0,02:56:12
0.125,400,0,02:56:13
0.125,400,0,02:56:14
0.1875,400,0,02:56:16
0.125,400,0,02:56:17
0.125,400,0,02:56:18
0.1875,400,0,02:56:19
0.125,400,0,02:56:20
0.0625,400,0,02:56:22
0.0625,400,0,02:56:23
0.0625,400,0,02:56:24
0.0625,400,0,02:56:25
0.0625,400,0,02:56:27
0.0,400,0,02:56:28
0.0,400,0,02:56:29
0.0625,400,0,02:56:30
0.0625,400,0,02:56:32
0.0,400,0,02:56:33
0.0,400,0,02:56:34
0.0,400,0,02:56:35
0.0,400,0,02:56:37
0.0,400,0,02:56:38
0.0,400,0,02:56:39
0.0,400,0,02:56:40
0.0,400,0,02:56:41
0.0,400,0,02:56:43
0.0,400,0,02:56:44
-0.0625,400,0,02:56:45
0.0,400,0,02:56:46
-0.0625,400,0,02:56:48
-0.0625,400,0,02:56:49
-0.125,400,0,02:56:50
-0.125,400,0,02:56:51
-0.0625,400,0,02:56:53
-0.125,400,0,02:56:54
-0.125,400,0,02:56:55
-0.125,400,0,02:56:56
-0.1875,400,0,02:56:57
-0.125,400,0,02:56:59
-0.125,400,0,02:57:00
-0.1875,400,0,02:57:01
-0.1875,400,0,02:57:02
-0.125,400,0,02:57:04
-0.1875,400,0,02:57:05
-0.1875,400,0,02:57:06
-0.25,400,0,02:57:07
-0.1875,400,0,02:57:09
-0.25,400,0,02:57:10
-0.25,400,0,02:57:11
-0.3125,400,0,02:57:12
-0.375,400,0,02:57:14
-0.25,400,0,02:57:15
-0.3125,400,0,02:57:16
-0.25,400,0,02:57:17
-0.375,400,0,02:57:18
-0.3125,400,0,02:57:20
-0.25,400,0,02:57:21
-0.3125,400,0,02:57:22
-0.3125,400,0,02:57:23
-0.375,400,0,02:57:25
-0.3125,400,0,02:57:26
-0.375,400,0,02:57:27
-0.375,400,0,02:57:28
-0.375,400,0,02:57:30
-0.4375,400,0,02:57:31
-0.375,400,0,02:57:32
-0.375,400,0,02:57:33
-0.5,400,0,02:57:35
-0.4375,400,0,02:57:36
-0.375,400,0,02:57:37
-0.4375,400,0,02:57:38
-0.375,400,0,02:57:39
-0.4375,400,0,02:57:41
-0.5,400,0,02:57:42
-0.4375,400,0,02:57:43
-0.4375,400,0,02:57:44
-0.4375,400,0,02:57:46
-0.5,400,0,02:57:47
-0.4375,400,0,02:57:48
-0.5,400,0,02:57:49
-0.5,400,0,02:57:51
-0.5,400,0,02:57:52
-0.5625,400,0,02:57:53
-0.5625,400,0,02:57:54
-0.5625,400,0,02:57:55
-0.625,400,0,02:57:57
-0.5625,400,0,02:57:58
-0.5625,400,0,02:57:59
-0.5625,400,0,02:58:00
-0.5625,400,0,02:58:02
-0.6875,400,0,02:58:03
-0.625,400,0,02:58:04
-0.625,400,0,02:58:05
-0.625,400,0,02:58:07
-0.625,400,0,02:58:08
-0.6875,400,0,02:58:09
-0.6875,400,0,02:58:10
-0.6875,400,0,02:58:12
-0.6875,400,0,02:58:13
-0.75,400,0,02:58:14
-0.8125,400,0,02:58:15
-0.75,400,0,02:58:16
-0.75,400,0,02:58:18
-0.75,400,0,02:58:19
-0.8125,400,0,02:58:20
-0.8125,400,0,02:58:21
-0.75,400,0,02:58:23
-0.8125,400,0,02:58:24
-0.8125,400,0,02:58:25
-0.8125,400,0,02:58:26
-0.8125,400,0,02:58:28
-0.8125,400,0,02:58:29
-0.875,400,0,02:58:30
-0.875,400,0,02:58:31
-0.875,400,0,02:58:32
-0.9375,400,0,02:58:34
-0.9375,400,0,02:58:35
-0.9375,400,0,02:58:36
-0.9375,400,0,02:58:37
-0.9375,400,0,02:58:39
-0.9375,400,0,02:58:40
-1.0,400,0,02:58:41
-1.0,400,0,02:58:42
-0.9375,400,0,02:58:44
-0.9375,400,0,02:58:45
-1.0,400,0,02:58:46
-1.0,400,0,02:58:47
-0.9375,400,0,02:58:49
-1.0625,400,0,02:58:50
-1.0625,400,0,02:58:51
-1.0625,400,0,02:58:52
-1.0625,400,0,02:58:53
-1.0,400,0,02:58:55
-1.125,400,0,02:58:56
-1.0625,400,0,02:58:57
-1.0625,400,0,02:58:58
-1.125,400,0,02:59:00
-1.0625,400,0,02:59:01
-1.125,400,0,02:59:02
-1.125,400,0,02:59:03
-1.125,400,0,02:59:05
-1.125,400,0,02:59:06
-1.125,400,0,02:59:07
-1.1875,400,0,02:59:08
-1.1875,400,0,02:59:09
-1.1875,400,0,02:59:11
-1.1875,400,0,02:59:12
-1.1875,400,0,02:59:13
