Temperature,CO2,VOC,Time
20.75,400,0,00:34:44
20.6875,400,0,00:34:45
20.75,400,0,00:34:46
20.75,400,0,00:34:47
20.75,400,0,00:34:49
20.75,400,0,00:34:50
20.75,400,0,00:34:51
20.75,400,0,00:34:52
20.75,400,0,00:34:54
20.75,400,0,00:34:55
20.8125,400,0,00:34:56
20.8125,400,0,00:34:57
20.75,2891,26990,00:34:59
20.8125,2680,24515,00:35:00
20.8125,2484,21762,00:35:01
20.8125,2342,19705,00:35:02
20.75,2146,18276,00:35:04
20.8125,2028,16210,00:35:05
20.8125,1958,15636,00:35:06
20.8125,1908,14972,00:35:07
20.8125,1861,14623,00:35:09
20.8125,1815,14094,00:35:10
20.875,1782,13621,00:35:11
20.8125,1724,13419,00:35:12
20.875,1674,12619,00:35:14
20.8125,1638,12361,00:35:15
20.8125,1598,11843,00:35:16
20.75,1547,11606,00:35:17
20.75,1536,11145,00:35:18
20.6875,1480,10875,00:35:20
20.6875,1465,10413,00:35:21
20.625,1391,10053,00:35:22
20.625,1381,9670,00:35:23
20.5625,1345,9243,00:35:25
20.4375,1308,8995,00:35:26
20.4375,1284,8927,00:35:27
20.375,1272,8466,00:35:28
20.375,1239,8094,00:35:30
20.3125,1230,7678,00:35:31
20.25,1202,7520,00:35:32
20.25,1146,7250,00:35:33
20.1875,1134,7005,00:35:35
20.125,1113,6895,00:35:36
20.125,1051,6614,00:35:37
19.875,963,6278,00:35:38
19.4375,932,6228,00:35:40
19.3125,877,6042,00:35:41
19.0625,871,5886,00:35:42
18.75,859,5826,00:35:43
18.5625,840,5611,00:35:44
18.3125,821,5420,00:35:46
18.0625,811,5300,00:35:47
17.875,803,5214,00:35:48
17.6875,772,5039,00:35:49
17.4375,753,4848,00:35:51
17.375,750,4583,00:35:52
17.125,730,4472,00:35:53
16.9375,738,4507,00:35:54
16.8125,730,4332,00:35:56
16.625,719,4262,00:35:57
16.4375,708,4221,00:35:58
16.3125,695,4066,00:35:59
16.1875,692,3956,00:36:01
16.0,677,3770,00:36:02
15.875,672,3670,00:36:03
15.75,664,3570,00:36:04
15.5625,641,3449,00:36:06
15.4375,634,3354,00:36:07
15.3125,614,3178,00:36:08
15.1875,610,3088,00:36:09
15.0,601,3043,00:36:10
14.875,594,3004,00:36:12
14.75,585,2990,00:36:13
14.625,576,2877,00:36:14
14.4375,567,2854,00:36:15
14.3125,559,2796,00:36:17
14.1875,539,2734,00:36:18
14.0,537,2810,00:36:19
13.9375,528,2699,00:36:20
13.8125,519,2634,00:36:22
13.75,507,2547,00:36:23
13.5625,498,2537,00:36:24
13.375,500,2521,00:36:25
13.3125,495,2434,00:36:27
13.1875,485,2471,00:36:28
13.125,488,2397,00:36:29
13.0,483,2392,00:36:30
12.8125,468,2314,00:36:31
12.6875,456,2247,00:36:33
12.5625,448,2240,00:36:34
12.4375,435,2193,00:36:35
12.3125,436,2127,00:36:36
12.1875,432,2083,00:36:38
12.0625,417,2032,00:36:39
12.0,406,1993,00:36:40
11.8125,402,1988,00:36:41
11.625,400,1940,00:36:43
11.5625,400,1877,00:36:44
11.5,400,1886,00:36:45
11.4375,400,1852,00:36:46
11.375,400,1771,00:36:48
11.3125,400,1759,00:36:49
11.125,400,1729,00:36:50
11.0,400,1711,00:36:51
10.875,400,1663,00:36:53
10.875,400,1621,00:36:54
10.8125,400,1559,00:36:55
10.6875,400,1547,00:36:56
10.5625,400,1485,00:36:57
10.5625,400,1476,00:36:59
10.4375,400,1386,00:37:00
10.3125,400,1362,00:37:01
10.1875,400,1381,00:37:02
10.125,400,1335,00:37:04
10.0625,400,1306,00:37:05
9.9375,400,1291,00:37:06
9.75,400,1272,00:37:07
9.625,400,1272,00:37:09
9.5,400,1252,00:37:10
9.375,400,1227,00:37:11
9.25,400,1213,00:37:12
9.1875,400,1175,00:37:14
9.0625,400,1181,00:37:15
8.9375,400,1164,00:37:16
8.875,400,1131,00:37:17
8.75,400,1143,00:37:18
8.6875,400,1124,00:37:20
8.5,400,1088,00:37:21
8.375,400,1082,00:37:22
8.3125,400,1081,00:37:23
8.1875,400,1043,00:37:25
8.125,400,1022,00:37:26
8.0,400,982,00:37:27
8.0,400,984,00:37:28
7.875,400,996,00:37:30
7.875,400,953,00:37:31
7.75,400,947,00:37:32
7.6875,400,940,00:37:33
7.625,400,925,00:37:35
7.5625,400,919,00:37:36
7.5,400,904,00:37:37
7.4375,400,880,00:37:38
7.3125,400,886,00:37:39
7.3125,400,860,00:37:41
7.1875,400,848,00:37:42
7.125,400,881,00:37:43
7.0625,400,826,00:37:44
7.0625,400,818,00:37:46
7.0,400,802,00:37:47
7.0,400,772,00:37:48
6.875,400,750,00:37:49
6.8125,400,730,00:37:51
6.75,400,744,00:37:52
6.625,400,709,00:37:53
6.5625,400,713,00:37:54
6.5,400,719,00:37:56
6.5,400,708,00:37:57
6.5,400,696,00:37:58
6.375,400,675,00:37:59
6.3125,400,670,00:38:00
6.25,400,644,00:38:02
6.1875,400,644,00:38:03
6.125,400,620,00:38:04
6.125,400,609,00:38:05
6.0,400,602,00:38:07
6.0,400,579,00:38:08
5.9375,400,577,00:38:09
5.875,400,570,00:38:10
5.8125,400,566,00:38:12
5.8125,400,564,00:38:13
5.8125,400,554,00:38:14
5.75,400,553,00:38:15
5.6875,400,536,00:38:17
5.5625,400,531,00:38:18
5.5625,400,518,00:38:19
5.4375,400,511,00:38:20
5.375,400,514,00:38:22
5.3125,400,509,00:38:23
5.3125,400,496,00:38:24
5.1875,400,493,00:38:25
5.125,400,480,00:38:26
5.0,400,470,00:38:28
4.9375,400,462,00:38:29
4.875,400,458,00:38:30
4.8125,400,446,00:38:31
4.6875,400,438,00:38:33
4.6875,400,450,00:38:34
4.625,400,437,00:38:35
4.5,400,427,00:38:36
4.4375,400,418,00:38:38
4.375,400,408,00:38:39
4.3125,400,407,00:38:40
4.25,400,403,00:38:41
4.25,400,393,00:38:43
4.1875,400,388,00:38:44
4.125,400,380,00:38:45
4.0625,400,375,00:38:46
4.0625,400,369,00:38:47
4.0,400,363,00:38:49
3.9375,400,355,00:38:50
3.875,400,348,00:38:51
3.8125,400,340,00:38:52
3.75,400,336,00:38:54
3.6875,400,326,00:38:55
3.625,400,322,00:38:56
3.5625,400,314,00:38:57
3.5,400,304,00:38:59
3.4375,400,306,00:39:00
3.4375,400,302,00:39:01
