Temperature,CO2,VOC,Time
21.75,400,0,00:38:07
21.75,400,0,00:38:08
21.8125,400,0,00:38:09
21.875,400,0,00:38:10
21.8125,400,0,00:38:12
21.875,400,0,00:38:13
21.875,400,0,00:38:14
21.875,400,0,00:38:15
Temperature,CO2,VOC,Time
24.1875,400,0,00:41:23
24.1875,400,0,00:41:25
24.25,400,0,00:41:26
24.1875,400,0,00:41:27
24.25,400,0,00:41:28
24.25,400,0,00:41:29
24.25,400,0,00:41:31
24.25,400,0,00:41:32
24.25,400,0,00:41:33
24.25,400,0,00:41:34
24.25,400,0,00:41:36
24.25,400,0,00:41:37
24.25,400,131,00:41:38
24.25,400,128,00:41:39
24.25,400,121,00:41:41
24.25,400,118,00:41:42
24.25,400,126,00:41:43
24.1875,400,125,00:41:44
24.1875,400,110,00:41:46
24.1875,400,108,00:41:47
24.1875,400,113,00:41:48
24.125,400,104,00:41:49
24.1875,400,101,00:41:50
24.125,400,95,00:41:52
24.0625,400,91,00:41:53
24.0625,400,79,00:41:54
24.0,400,66,00:41:55
24.0,400,56,00:41:57
23.9375,400,52,00:41:58
23.9375,400,65,00:41:59
23.75,400,57,00:42:00
23.75,400,71,00:42:02
23.75,400,75,00:42:03
23.75,400,87,00:42:04
23.8125,400,89,00:42:05
23.75,400,89,00:42:07
23.75,400,118,00:42:08
23.8125,400,133,00:42:09
23.8125,400,148,00:42:10
23.8125,400,162,00:42:11
23.8125,400,170,00:42:13
23.8125,400,170,00:42:14
23.8125,400,166,00:42:15
23.8125,400,162,00:42:16
23.875,400,161,00:42:18
23.8125,400,191,00:42:19
23.875,561,388,00:42:20
23.875,580,418,00:42:21
23.9375,471,336,00:42:23
23.875,424,267,00:42:24
23.875,400,228,00:42:25
23.875,400,197,00:42:26
23.875,400,182,00:42:28
23.9375,400,168,00:42:29
23.875,400,157,00:42:30
23.875,400,158,00:42:31
23.9375,400,156,00:42:32
23.9375,400,155,00:42:34
23.9375,400,160,00:42:35
23.9375,400,156,00:42:36
24.0,400,156,00:42:37
24.0,400,155,00:42:39
24.0,400,147,00:42:40
24.0625,400,142,00:42:41
24.0,400,136,00:42:42
24.0625,400,133,00:42:44
24.0,400,127,00:42:45
24.0625,400,132,00:42:46
24.0625,400,137,00:42:47
24.125,400,137,00:42:48
24.0625,400,139,00:42:50
24.125,400,148,00:42:51
24.125,400,154,00:42:52
24.125,400,151,00:42:53
24.125,400,154,00:42:55
24.1875,400,161,00:42:56
24.1875,400,168,00:42:57
24.1875,400,163,00:42:58
24.25,400,162,00:43:00
24.1875,400,158,00:43:01
24.25,400,166,00:43:02
24.25,400,165,00:43:03
24.25,400,165,00:43:05
24.25,400,167,00:43:06
24.25,400,169,00:43:07
24.3125,400,165,00:43:08
24.3125,400,163,00:43:09
24.3125,400,161,00:43:11
24.375,400,165,00:43:12
24.375,400,168,00:43:13
24.375,400,168,00:43:14
